#{"t_start": 1648505164.8220785, "env_id": "multicomp/KickAndDefend-v0"}
r,l,t,r0,r1
-5422.718633,500,9.520879,-5422.718633,1023.453479
-4485.30169,476,16.779669,-4485.30169,-91.757868
-4008.075875,319,21.616732,-4008.075875,-361.431731
-4232.223283,318,26.47095,-4232.223283,228.459669
-995.849219,1,26.486786,-995.849219,1504.781546
-1870.616886,116,28.215474,-1870.616886,702.303529
-3348.769421,268,32.401885,-3348.769421,309.693668
-3998.550029,370,38.762198,-3998.550029,-691.286081
-2278.822539,162,41.206287,-2278.822539,436.780756
-3551.622949,302,45.860693,-3551.622949,-329.935953
-1563.469101,110,47.575793,-1563.469101,687.535693
-4811.837209,500,55.146386,-4811.837209,1644.757841
-769.549974,132,57.127393,-769.549974,-856.072615
-2243.095314,211,60.3133,-2243.095314,773.363339
-1876.032688,145,62.612413,-1876.032688,405.413739
-5662.251314,500,70.644356,-5662.251314,2121.347581
-1680.951944,110,72.286065,-1680.951944,689.633316
-2228.819268,153,74.602336,-2228.819268,775.030631
-2410.265997,168,77.041271,-2410.265997,888.292044
-2552.986479,219,80.333746,-2552.986479,162.46583
-2294.977131,142,82.48141,-2294.977131,1208.525587
-1823.475214,143,84.57771,-1823.475214,415.111212
-2109.616803,176,87.2048,-2109.616803,523.290916
-2641.009911,162,89.609027,-2641.009911,646.872432
-2466.271283,168,92.10952,-2466.271283,832.906801
-2188.333337,142,94.265303,-2188.333337,663.548337
-3917.478156,355,100.013728,-3917.478156,380.062316
-1956.361779,144,102.122956,-1956.361779,514.917492
-4069.900821,416,108.29252,-4069.900821,223.490294
-4924.659557,406,114.210915,-4924.659557,1113.217548
-1729.396559,97,115.687885,-1729.396559,739.346808
-2225.447008,130,117.681201,-2225.447008,1091.775641
-1815.816051,90,119.064214,-1815.816051,949.179386
-2853.426078,270,123.068122,-2853.426078,844.613503
-2231.745639,178,125.870423,-2231.745639,792.967844
-2095.649393,115,128.118754,-2095.649393,650.957961
-1616.857328,116,130.234053,-1616.857328,597.193492
-4536.173304,407,137.360669,-4536.173304,-207.996975
-3762.777938,389,143.526323,-3762.777938,-147.305605
-2097.408208,170,146.055504,-2097.408208,833.13766
-1487.71412,101,147.583478,-1487.71412,1170.143096
-1708.521336,105,149.138435,-1708.521336,646.644655
-1953.753152,175,151.707229,-1953.753152,1503.033384
-2337.735999,180,154.39235,-2337.735999,985.512776
-1955.679869,147,156.537493,-1955.679869,892.431827
-2329.608308,228,160.141716,-2329.608308,517.847489
-2758.480347,188,163.622841,-2758.480347,187.344734
-2680.637471,221,166.927017,-2680.637471,548.634503
-1795.876908,123,168.732279,-1795.876908,594.001641
-1752.347156,124,170.500185,-1752.347156,690.461353
-2236.160089,182,173.339928,-2236.160089,565.62285
-1817.214715,125,175.192577,-1817.214715,1223.014239
-4225.900408,347,180.415372,-4225.900408,869.94914
-2502.926781,228,183.845079,-2502.926781,960.614281
-1878.213417,141,185.953523,-1878.213417,1231.356866
-5989.39342,500,193.959008,-5989.39342,-10.080332
-2659.516268,262,197.845044,-2659.516268,442.091443
-1495.006618,82,199.043895,-1495.006618,823.089243
-5224.024053,365,204.475816,-5224.024053,-390.010079
-1920.264017,133,206.419605,-1920.264017,884.36691
-1373.54757,232,209.816929,-1373.54757,-1963.670971
-2579.776244,200,212.782735,-2579.776244,728.980437
-1738.728198,129,214.693716,-1738.728198,686.292643
-1980.801941,129,216.608686,-1980.801941,721.811956
-1669.1709,137,218.654073,-1669.1709,1425.504449
-1354.849293,70,219.750144,-1354.849293,809.887054
-2649.252736,259,224.172784,-2649.252736,1269.357848
-1760.138104,102,225.737493,-1760.138104,861.896004
-5543.75815,500,233.387004,-5543.75815,-325.365285
-2611.116509,247,237.078244,-2611.116509,528.934887
-1763.726441,114,238.816687,-1763.726441,672.092363
-5547.011589,500,246.303616,-5547.011589,2103.913647
-6397.088197,500,254.429534,-6397.088197,1378.741767
-1651.727545,128,257.815685,-1651.727545,701.044352
-2709.937823,247,262.35603,-2709.937823,195.551997
-1617.095455,90,263.914247,-1617.095455,1143.740869
-6295.170749,500,272.395242,-6295.170749,659.392095
-5832.100007,500,280.53221,-5832.100007,-730.630966
-1874.583792,102,282.157984,-1874.583792,683.943802
-2463.538658,198,285.402599,-2463.538658,249.085341
-1900.191344,129,287.5496,-1900.191344,864.414931
-1006.038407,51,288.506221,-1006.038407,1556.758284
-3008.325148,225,292.466384,-3008.325148,223.349078
-2022.255209,149,294.841377,-2022.255209,506.877744
-1677.285285,143,297.132163,-1677.285285,808.925908
-1734.687856,108,298.892957,-1734.687856,727.000506
