#{"t_start": 1648128398.4970326, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
-654.612568,141,2.3314,-654.612568,1560.441191
-558.866602,229,4.152785,-558.866602,1818.702019
-532.912139,173,5.493076,-532.912139,1603.19551
-721.969265,90,6.196141,-721.969265,1338.84236
-705.19311,106,7.061282,-705.19311,1432.193127
-476.387901,169,8.507698,-476.387901,1707.881163
-412.218095,262,10.703804,-412.218095,1963.469457
-817.494456,92,11.648987,-817.494456,328.670881
1161.934651,43,12.000472,1161.934651,-833.135105
-327.715692,277,14.385114,-327.715692,2059.260185
-368.062096,359,17.274354,-368.062096,2010.020959
-651.183342,112,18.637943,-651.183342,1494.1518
-444.997098,172,20.218097,-444.997098,478.530104
-524.211279,198,21.845319,-524.211279,1700.138351
-444.316122,249,23.933631,-444.316122,1794.979045
-309.114704,214,25.646646,-309.114704,1937.93286
1772.237855,259,27.744543,1772.237855,-34.049918
-7.054346,345,30.590384,-7.054346,2186.474982
-640.924114,177,31.98039,-640.924114,1686.966682
-424.419252,207,33.604815,-424.419252,1761.717381
-562.755317,148,34.822454,-562.755317,1567.56962
-774.605133,148,36.358918,-774.605133,466.488401
-692.132365,161,37.688455,-692.132365,1511.698772
-462.989286,151,38.976076,-462.989286,1571.625288
218.392543,59,39.502322,218.392543,-883.410086
-535.865515,195,41.179965,-535.865515,1651.359016
-547.839084,175,42.580471,-547.839084,1664.623988
-145.559687,315,45.638326,-145.559687,1988.528245
-752.177214,125,46.785911,-752.177214,372.584497
-386.231594,279,49.240454,-386.231594,1970.42295
-289.427208,227,51.322742,-289.427208,1871.878851
-442.213012,263,53.637619,-442.213012,2014.656678
-392.542536,239,56.233854,-392.542536,1816.222117
-355.940121,260,59.533313,-355.940121,1886.407467
-606.315837,166,61.261132,-606.315837,1638.811762
-515.881904,222,63.377722,-515.881904,1783.157253
-675.163554,154,64.786998,-675.163554,623.969744
-739.280922,128,66.155031,-739.280922,1392.267768
-849.726195,68,66.908139,-849.726195,214.300533
-770.577937,114,68.263947,-770.577937,1367.110258
1369.339142,105,69.283128,1369.339142,-543.162354
-737.494374,89,70.120543,-737.494374,349.392726
-121.248733,261,72.886773,-121.248733,2027.275437
58.632825,372,76.581064,58.632825,2337.504343
-54.60649,337,79.637509,-54.60649,2266.100684
-555.929654,168,81.318605,-555.929654,1666.85496
-875.733132,79,82.036977,-875.733132,235.27918
-835.232573,43,82.468121,-835.232573,1183.636794
1175.925528,49,82.928773,1175.925528,-811.569571
-742.038571,80,83.644928,-742.038571,307.477785
367.963666,341,86.951109,367.963666,2096.396227
-385.693786,198,88.856144,-385.693786,1720.150482
-548.643516,183,90.591981,-548.643516,1694.932914
-748.585772,144,92.019484,-748.585772,476.675012
-160.158426,292,94.779795,-160.158426,2220.738592
-634.771868,123,96.222574,-634.771868,1492.107113
-506.26623,170,97.793906,-506.26623,1622.952088
-479.992551,218,99.977934,-479.992551,1785.824178
-746.837069,123,101.150077,-746.837069,334.586212
1354.968479,104,102.062519,1354.968479,-647.150457
-198.165008,254,104.357337,-198.165008,1817.705588
-702.186625,117,105.474594,-702.186625,1410.049043
332.513821,500,110.2188,332.513821,808.461046
-573.115031,172,111.959901,-573.115031,1655.354621
-329.032377,325,115.397257,-329.032377,348.27855
-803.630245,103,116.302184,-803.630245,265.544866
-83.062882,369,119.790123,-83.062882,2476.318376
1489.132268,190,121.644664,1489.132268,-356.414521
-592.358739,127,123.011589,-592.358739,1542.827466
1155.839314,44,123.442605,1155.839314,-839.812135
-776.814756,83,124.317076,-776.814756,1316.818118
-736.102344,117,125.525857,-736.102344,1408.934303
-910.397627,58,126.077526,-910.397627,211.975035
-702.993763,107,127.156701,-702.993763,1417.558058
-523.944457,175,128.927061,-523.944457,1687.416904
1340.666667,104,129.981859,1340.666667,-597.725227
-564.850331,130,131.33505,-564.850331,1524.806827
-866.930209,75,132.083918,-866.930209,260.30807
3.944775,328,135.476052,3.944775,2323.683215
-597.63299,109,136.970835,-597.63299,1402.052087
-540.654842,131,138.336234,-540.654842,1540.022626
-536.423322,167,140.116523,-536.423322,596.579608
-434.181577,210,142.362538,-434.181577,1689.950446
