#{"t_start": 1648333473.8288655, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
-756.6978,92,3.89191,1393.81945,-756.6978
-295.097905,235,7.507327,1766.941315,-295.097905
-658.802088,113,9.196332,439.414778,-658.802088
-331.207028,266,13.23102,841.309584,-331.207028
-747.245103,101,14.781948,1398.369942,-747.245103
-203.291982,282,19.116177,2055.532906,-203.291982
-752.656993,160,21.598534,663.21188,-752.656993
-655.212275,215,24.897679,547.334847,-655.212275
-761.99969,145,27.145456,448.877636,-761.99969
-389.997109,217,30.523559,847.650325,-389.997109
-315.945001,202,33.707188,1816.323624,-315.945001
-482.34313,184,37.246359,1623.315989,-482.34313
-782.321914,83,38.510242,1302.357211,-782.321914
-305.416418,297,43.011417,2138.651548,-305.416418
-647.698942,109,44.684042,1343.776191,-647.698942
-701.677873,110,46.373902,1374.154309,-701.677873
-579.608167,200,49.43167,1634.728138,-579.608167
-645.035558,123,51.320371,1469.574593,-645.035558
217.529685,96,52.762016,-819.07865,217.529685
-329.274907,255,56.65025,1843.624988,-329.274907
-257.063589,457,63.647386,1802.415315,-257.063589
-314.048549,219,67.379002,1823.298222,-314.048549
-660.188385,112,69.062246,1469.563981,-660.188385
-605.036202,128,71.036981,1491.783685,-605.036202
-509.30224,197,74.04545,1688.016344,-509.30224
-447.273246,203,77.193048,1615.771816,-447.273246
5.339984,301,81.824307,2186.512441,5.339984
-732.967621,84,83.133034,1315.227102,-732.967621
-780.030215,68,84.181468,281.937107,-780.030215
-558.93686,139,86.325069,1539.346546,-558.93686
-531.125348,233,89.89869,871.830819,-531.125348
-526.957593,197,92.940412,1781.003938,-526.957593
-559.165138,134,94.997519,1554.643706,-559.165138
-878.187085,51,95.787576,207.500755,-878.187085
-538.062911,220,99.434275,831.674522,-538.062911
-846.408425,120,101.28075,304.682066,-846.408425
555.198995,500,108.949084,863.269864,555.198995
-543.417018,177,111.618277,1500.607145,-543.417018
-475.650964,208,114.829605,1725.929467,-475.650964
-519.805299,138,116.957355,1596.240631,-519.805299
898.101652,500,124.778007,1040.221784,898.101652
-650.718883,200,127.800641,1689.315041,-650.718883
-526.997601,141,130.312175,1562.663975,-526.997601
-304.474579,249,134.154755,1974.770122,-304.474579
-735.001274,153,136.512613,525.542705,-735.001274
-665.952306,236,140.084594,856.497008,-665.952306
-813.38115,85,141.398152,306.656827,-813.38115
1703.722974,246,145.197302,-111.786536,1703.722974
-66.283245,448,152.035879,2707.359579,-66.283245
-770.033309,74,153.198483,1301.898076,-770.033309
-787.77382,76,154.338717,287.372286,-787.77382
-425.722711,262,158.330397,1000.497813,-425.722711
-784.810476,116,160.092621,405.972023,-784.810476
-649.249263,115,162.176662,1469.367822,-649.249263
-633.133898,136,164.252532,1556.304856,-633.133898
-535.77815,214,167.525948,706.591669,-535.77815
1334.796136,86,168.823747,-713.308947,1334.796136
-584.72287,135,170.924857,1517.343513,-584.72287
-668.361173,114,172.743231,1416.45651,-668.361173
-473.107205,281,177.112051,1923.061022,-473.107205
-304.72533,257,181.112771,1937.849572,-304.72533
-381.650652,263,185.122287,1913.493289,-381.650652
-702.986204,209,188.335732,777.474572,-702.986204
-774.73342,110,190.037026,447.044367,-774.73342
1277.625701,86,191.349032,-678.652378,1277.625701
-446.295247,186,194.605807,1744.930752,-446.295247
-843.318427,96,196.095318,198.629907,-843.318427
-813.102602,54,196.950636,1213.460077,-813.102602
193.102241,500,204.757073,333.368789,193.102241
-186.848212,263,208.846286,1942.181064,-186.848212
-19.893886,363,214.448412,2425.453669,-19.893886
-719.294287,113,216.174571,1449.942178,-719.294287
-746.621622,161,218.641817,595.212358,-746.621622
164.871268,366,224.391723,2431.498896,164.871268
302.321587,439,231.391875,2610.565245,302.321587
-554.015824,136,233.484946,1535.121242,-554.015824
-687.326657,147,235.771962,1611.622019,-687.326657
-453.230241,180,238.556304,1673.829499,-453.230241
-310.410271,233,242.167854,1909.548206,-310.410271
-501.595304,222,245.591468,770.992173,-501.595304
-367.430789,268,249.848649,1013.301478,-367.430789
-906.894178,81,251.118202,192.990329,-906.894178
-416.658747,272,255.385514,778.967529,-416.658747
-661.547575,115,257.124865,394.812604,-661.547575
-171.697684,500,265.200845,423.902529,-171.697684
224.603053,347,270.535067,2246.291338,224.603053
-206.552994,369,276.241091,2450.636086,-206.552994
173.203497,500,284.0258,1088.366682,173.203497
-708.525717,83,285.29234,325.685263,-708.525717
161.446673,500,293.268199,686.993831,161.446673
395.462488,500,301.021598,723.100015,395.462488
-386.535018,247,304.964369,1977.370186,-386.535018
-380.332664,309,309.784295,1971.105409,-380.332664
-526.424142,219,313.132676,1672.984754,-526.424142
-624.621389,129,315.118835,1450.923705,-624.621389
-853.491885,43,315.774058,1179.522327,-853.491885
611.031338,500,323.804431,794.817611,611.031338
-612.861073,123,325.758566,1512.778736,-612.861073
-6.139039,315,330.565198,2291.050905,-6.139039
-154.882078,325,335.59172,2234.478823,-154.882078
-592.485247,140,337.761996,1513.756771,-592.485247
-711.739347,109,339.423492,1495.097613,-711.739347
-846.921986,94,340.818039,391.458542,-846.921986
17.106888,367,346.406405,2350.338746,17.106888
82.020469,314,351.198612,2078.236663,82.020469
-740.515669,99,352.707821,1359.672113,-740.515669
1245.362439,63,354.018206,-771.553777,1245.362439
-545.859909,181,356.765057,1768.217822,-545.859909
-789.904387,73,357.896329,241.092484,-789.904387
-420.719814,164,360.431739,1656.204193,-420.719814
300.443134,434,367.101922,2798.081145,300.443134
-441.861851,168,369.653869,1657.766199,-441.861851
-247.595418,320,374.51921,2161.900643,-247.595418
-756.065748,111,376.229548,404.889796,-756.065748
-268.852323,357,381.753299,2403.31869,-268.852323
-855.460343,93,383.196837,304.476349,-855.460343
-480.734694,238,387.146688,748.277694,-480.734694
-629.349075,121,389.042951,1385.866648,-629.349075
-521.023241,294,393.593549,1022.512844,-521.023241
-664.700337,102,395.150702,1374.559841,-664.700337
-597.402927,122,397.031655,1488.491311,-597.402927
-608.169714,129,399.048785,1536.155195,-608.169714
-676.112072,170,401.660887,571.164238,-676.112072
-496.677355,164,404.233565,1663.421015,-496.677355
-552.005878,167,406.919249,1676.884603,-552.005878
-541.365715,212,410.208908,797.841986,-541.365715
-660.996115,115,412.010054,1476.414988,-660.996115
-438.872933,240,415.901935,1835.075002,-438.872933
-447.027777,193,419.244009,1840.345036,-447.027777
-840.992856,64,420.245235,229.889835,-840.992856
-570.386691,246,424.039498,1713.521424,-570.386691
-660.027766,250,427.885088,771.578393,-660.027766
-654.962158,175,430.603173,633.145813,-654.962158
-396.729571,314,435.466966,2004.892979,-396.729571
-596.130991,147,437.72585,548.471986,-596.130991
-728.852871,87,439.097913,1337.191189,-728.852871
208.915875,496,446.84871,1704.712249,208.915875
-405.606159,216,450.635244,1907.628592,-405.606159
-406.834959,246,454.495921,1890.675302,-406.834959
-467.183421,250,458.439219,1961.696018,-467.183421
-295.535021,275,462.674448,1990.365607,-295.535021
-584.788544,147,465.002952,494.01538,-584.788544
-222.824125,375,470.954725,2217.224369,-222.824125
-611.397893,160,473.484669,586.389273,-611.397893
546.928692,500,481.171569,920.992863,546.928692
-248.181526,318,486.480178,1907.694548,-248.181526
-873.030413,101,488.085359,271.311989,-873.030413
-690.768448,106,489.728717,1395.904199,-690.768448
-733.070948,164,492.260259,505.989285,-733.070948
-400.536682,248,496.098053,1763.435831,-400.536682
-532.486678,152,498.507032,1622.301572,-532.486678
-641.771721,180,501.265229,564.301191,-641.771721
424.707509,446,508.23517,2526.647822,424.707509
-583.375782,122,510.120314,1466.196093,-583.375782
-674.402493,94,511.544119,1371.316363,-674.402493
-717.966027,145,513.818011,581.462234,-717.966027
-416.429712,159,516.662571,1593.156729,-416.429712
-769.716924,134,518.727217,411.542897,-769.716924
242.693394,477,526.070665,2903.88344,242.693394
-693.676811,80,527.293991,1318.631481,-693.676811
-722.262443,183,530.062009,522.704803,-722.262443
-466.726522,172,532.949048,1716.557373,-466.726522
493.102615,500,540.960212,579.45314,493.102615
124.009958,500,550.794166,928.372909,124.009958
-88.608792,273,555.123613,2147.39616,-88.608792
-579.192506,126,557.100636,1498.422694,-579.192506
-519.746036,148,559.444063,1638.983439,-519.746036
-687.386295,104,560.829013,1433.680903,-687.386295
-410.141935,220,563.251449,1862.445484,-410.141935
-772.27755,82,564.001822,346.273079,-772.27755
-139.654976,313,566.7986,2369.147514,-139.654976
-927.07793,50,567.279018,131.796853,-927.07793
257.017373,456,571.403616,2791.988369,257.017373
-401.557995,185,573.278326,1730.81521,-401.557995
-610.734922,108,574.254177,1418.727254,-610.734922
-517.792226,134,575.461726,1527.926308,-517.792226
-449.381683,226,577.458818,1710.978565,-449.381683
-479.680129,142,578.683393,1545.160963,-479.680129
-372.798532,203,580.392456,1659.528929,-372.798532
-718.484161,95,581.210773,370.038442,-718.484161
