#{"t_start": 1648334098.2342548, "env_id": "multicomp/YouShallNotPassHumans-v0"}
r,l,t,r0,r1
-1159.864319,41,2.607814,1111.930892,-1159.864319
-1590.841613,69,3.327661,1067.52992,-1590.841613
-1194.411921,35,3.687885,1081.320041,-1194.411921
-1294.552569,46,4.167757,1127.080009,-1294.552569
-1836.454527,84,5.014611,811.224351,-1836.454527
-1545.932705,67,5.684888,1186.140856,-1545.932705
-1534.730603,61,6.280425,1169.838459,-1534.730603
-1579.953152,67,6.90928,1189.240884,-1579.953152
-1601.764748,78,7.640069,1211.53679,-1601.764748
-1217.62081,42,8.080838,1112.520496,-1217.62081
-1782.933295,98,9.012439,-39.865707,-1782.933295
-1183.231822,45,9.470911,1137.254834,-1183.231822
-1649.071608,81,10.261076,-60.285818,-1649.071608
-1575.692672,66,10.923182,1187.609874,-1575.692672
-1656.87703,83,11.792906,-89.355811,-1656.87703
-1851.629667,91,12.716427,1197.701815,-1851.629667
-1352.76581,44,13.181203,1124.301886,-1352.76581
-1464.755605,61,13.858562,1101.747372,-1464.755605
-1350.044356,52,14.471117,1152.120724,-1350.044356
-2401.616459,155,16.1044,-539.109144,-2401.616459
-1617.228166,78,16.876058,1151.985708,-1617.228166
-1247.930145,39,17.287833,1106.546884,-1247.930145
-1376.781022,47,17.759322,1115.962657,-1376.781022
-1390.976913,52,18.301805,1139.707048,-1390.976913
-1724.752261,88,19.200559,1063.792165,-1724.752261
-1224.190793,47,19.655683,1144.661478,-1224.190793
-1585.665424,86,20.553409,995.394446,-1585.665424
-1569.382027,75,21.301281,1203.863002,-1569.382027
-1243.803241,54,21.844467,1145.845864,-1243.803241
-1342.512828,56,22.386913,1156.326965,-1342.512828
-1545.070375,59,22.990946,1122.058067,-1545.070375
-1922.330017,100,24.794147,-146.88341,-1922.330017
-1291.493852,42,25.218623,1118.97963,-1291.493852
-2000.512564,109,26.318473,-191.442223,-2000.512564
-1375.759061,60,26.90058,1160.171701,-1375.759061
-1291.5684,42,27.322086,1112.521585,-1291.5684
-1473.636461,56,27.892748,1164.393154,-1473.636461
-1260.139005,59,28.497905,1169.423472,-1260.139005
-1396.192409,59,29.121836,1154.446591,-1396.192409
-1410.409546,57,29.805091,1164.19501,-1410.409546
-1644.007455,76,30.628219,-99.805853,-1644.007455
-1284.403463,48,31.158012,1118.255313,-1284.403463
-1446.363435,52,31.806018,1147.936578,-1446.363435
-1556.016271,74,32.599229,1180.448711,-1556.016271
-1476.652126,68,33.325419,1211.061902,-1476.652126
-1351.540959,54,33.94183,1134.859059,-1351.540959
-1501.424607,58,34.592139,1151.793618,-1501.424607
-1373.617945,53,35.173844,1137.718957,-1373.617945
-1218.246534,34,35.545465,1092.93462,-1218.246534
-1512.616663,62,36.230384,1113.297028,-1512.616663
-1298.609863,50,36.783939,1122.726637,-1298.609863
-1271.052386,46,37.305394,1110.730119,-1271.052386
-1743.316226,84,38.246959,1034.010396,-1743.316226
-1342.959575,44,38.742776,1123.940674,-1342.959575
-1899.809188,96,39.902477,751.634356,-1899.809188
-1671.701654,76,40.727715,1187.700824,-1671.701654
-1184.696409,39,41.158065,1100.743337,-1184.696409
-1424.804688,57,41.82594,1133.222192,-1424.804688
-1366.432261,49,42.349611,1133.440668,-1366.432261
-1344.598047,49,42.811896,1138.691249,-1344.598047
-1794.540316,96,43.729169,-23.603523,-1794.540316
-1213.88214,44,44.174574,1114.367945,-1213.88214
-1200.849754,39,44.548388,1111.321373,-1200.849754
-1527.995351,63,45.142078,1114.604896,-1527.995351
-1206.233054,43,45.547134,1120.874434,-1206.233054
-1472.01214,59,46.534616,1170.930342,-1472.01214
-1278.023196,62,47.116747,1167.448446,-1278.023196
-1328.983852,60,47.662743,1169.270147,-1328.983852
-1878.14478,104,48.662275,-137.580007,-1878.14478
-1448.435487,61,49.232561,1172.196835,-1448.435487
-1325.170643,45,49.667568,1122.177444,-1325.170643
-1502.125031,75,50.371203,1189.246233,-1502.125031
-1511.836902,67,50.997677,1182.784155,-1511.836902
-1369.008573,45,51.435286,1104.54047,-1369.008573
-1423.497127,55,52.013938,1137.075584,-1423.497127
-1537.85529,62,52.610574,1179.173481,-1537.85529
-1850.374765,99,53.529125,1042.060328,-1850.374765
-1429.42826,58,54.071315,1149.612141,-1429.42826
-1431.773237,66,54.714487,1152.451243,-1431.773237
-1665.75271,76,55.449137,2.995483,-1665.75271
-1401.228879,46,55.90419,1130.623549,-1401.228879
-1566.986483,73,56.587652,1199.724124,-1566.986483
-1487.919032,61,57.160765,1181.71667,-1487.919032
-1456.046355,57,57.688043,1164.387803,-1456.046355
-1639.157387,67,58.314722,1144.162144,-1639.157387
-1387.975869,57,58.864493,1158.863412,-1387.975869
-1248.047593,51,59.344289,1141.209084,-1248.047593
-1367.986648,53,59.830817,1138.529139,-1367.986648
-1223.343499,50,60.304331,1161.776884,-1223.343499
-1497.372256,63,60.90211,1179.462193,-1497.372256
-1582.165605,68,61.549897,1094.785911,-1582.165605
-1522.976201,80,62.327818,1002.753211,-1522.976201
-1488.410231,67,62.974438,1070.979255,-1488.410231
-1349.952966,56,63.484208,1149.575583,-1349.952966
-1250.449536,38,63.83198,1106.920617,-1250.449536
-1309.399809,59,64.38328,1161.029006,-1309.399809
-1282.312474,44,64.797805,1120.729979,-1282.312474
-1515.623936,63,65.377752,1134.939982,-1515.623936
-1273.157513,43,66.197929,1116.08031,-1273.157513
-1440.74216,56,66.735758,1145.008606,-1440.74216
-1493.627071,64,67.34054,1161.028104,-1493.627071
-1353.283112,48,67.80109,1143.335673,-1353.283112
-1778.954864,88,68.647755,-28.547006,-1778.954864
-1278.907281,38,68.998803,1098.524162,-1278.907281
-1507.605789,64,69.589146,1175.349313,-1507.605789
-1328.348667,49,70.042762,1155.557079,-1328.348667
-1449.7518,56,70.561901,1156.375589,-1449.7518
-1705.898838,81,71.327473,1158.785231,-1705.898838
-1358.128316,48,71.829863,1132.48399,-1358.128316
-1210.709063,38,72.181563,1115.028443,-1210.709063
-1433.578369,64,72.765182,1176.001466,-1433.578369
-1728.110988,85,73.565332,1195.613765,-1728.110988
-1749.846695,80,74.316929,1226.807109,-1749.846695
-1322.737551,47,74.760812,1132.596748,-1322.737551
-1678.662684,81,75.519806,-9.408928,-1678.662684
-1737.62845,76,76.271596,955.946504,-1737.62845
-1504.51295,62,76.877616,1192.52038,-1504.51295
-1205.374472,50,77.373319,1147.534662,-1205.374472
-1180.05459,44,77.793355,1114.599412,-1180.05459
-1583.399645,67,78.422014,1056.812458,-1583.399645
-1240.484877,41,78.803966,1098.883623,-1240.484877
-1546.709818,65,79.401283,1051.278386,-1546.709818
-1463.412883,58,79.945625,1177.737972,-1463.412883
-1387.362655,57,80.476259,1166.42701,-1387.362655
-1471.865839,58,81.047252,1147.229083,-1471.865839
-1389.539783,50,81.523785,1157.397646,-1389.539783
-1490.095274,60,82.107012,1153.926607,-1490.095274
-1194.8074,38,82.477189,1103.996349,-1194.8074
-1620.306331,78,83.262135,1066.304267,-1620.306331
-1385.044223,48,83.700456,1116.067526,-1385.044223
-1424.363357,54,84.193598,1135.222895,-1424.363357
-1415.110271,60,84.759439,1168.767073,-1415.110271
-1168.368933,62,85.335295,1186.900924,-1168.368933
-1298.669383,45,86.183094,1127.38804,-1298.669383
-1491.965415,68,86.824555,1161.901134,-1491.965415
-1535.430172,73,87.530632,1192.241697,-1535.430172
-1235.471702,40,87.914532,1115.411203,-1235.471702
-1474.941837,63,88.533624,1177.135248,-1474.941837
-1494.232681,60,89.101862,1166.654918,-1494.232681
-1545.744556,67,89.738573,1183.879059,-1545.744556
-1636.978196,73,90.440361,1214.261086,-1636.978196
-1947.137557,102,91.404469,1139.516617,-1947.137557
-1187.266611,37,91.768133,1103.454089,-1187.266611
-1546.504231,70,92.497638,1184.839833,-1546.504231
-1398.07031,48,92.953945,1114.105961,-1398.07031
-1460.280635,67,93.608773,1205.624636,-1460.280635
-1414.761504,55,94.135571,1157.690133,-1414.761504
-1253.746494,43,94.538058,1112.070801,-1253.746494
-1348.658804,49,94.980442,1135.412433,-1348.658804
-1173.800099,43,95.388322,1100.798826,-1173.800099
-1539.082772,64,96.003082,1187.399016,-1539.082772
-1440.266118,60,96.555905,1168.203515,-1440.266118
-1545.776277,59,97.116419,1137.8946,-1545.776277
-1273.037872,44,97.520472,1118.134612,-1273.037872
-1840.741469,94,98.388,1059.557897,-1840.741469
-1547.156834,63,98.984005,1021.731565,-1547.156834
-1404.226338,48,99.442013,1128.456676,-1404.226338
-1582.398642,64,100.033858,1164.675798,-1582.398642
-1873.733993,92,100.89901,1259.740131,-1873.733993
-1425.644744,55,101.403188,1153.822889,-1425.644744
-1950.008999,106,102.398754,1040.582954,-1950.008999
-1438.902988,66,103.003558,1178.056453,-1438.902988
-1440.391075,56,103.523637,1146.192015,-1440.391075
-1258.913236,46,103.953341,1116.796394,-1258.913236
-1713.261548,77,104.677527,1039.588216,-1713.261548
-1616.017936,70,106.130197,1101.417187,-1616.017936
-1614.024365,67,107.160673,1186.82794,-1614.024365
-1603.533645,69,108.260214,1199.770802,-1603.533645
-1364.643123,51,109.06998,1151.968109,-1364.643123
-1367.86384,54,109.944287,1150.479394,-1367.86384
-1285.189402,47,110.685426,1137.370372,-1285.189402
-1410.295751,58,111.594869,1151.862048,-1410.295751
-1432.57315,64,112.634882,1120.431976,-1432.57315
-1457.432765,70,113.728271,1194.415583,-1457.432765
-1429.05907,58,114.63952,1143.200142,-1429.05907
-1533.060026,62,115.640695,1175.108476,-1533.060026
-1396.518786,59,116.630945,1168.557381,-1396.518786
-1395.270164,55,117.47869,1169.063615,-1395.270164
-1238.72857,60,118.427725,1188.789221,-1238.72857
-1362.881489,59,119.367076,1169.378937,-1362.881489
-1480.879517,57,120.250283,1153.57823,-1480.879517
-1202.10402,34,120.782711,1078.697176,-1202.10402
-1338.220013,52,121.585694,1135.642417,-1338.220013
-1430.594384,56,122.455743,1159.913688,-1430.594384
-1294.784231,43,123.151237,1111.686233,-1294.784231
-1744.960203,94,124.647377,1087.67562,-1744.960203
-1267.14455,58,125.543498,1172.050283,-1267.14455
-1452.682646,56,126.406222,1154.342002,-1452.682646
-1404.34635,55,127.272278,1149.510312,-1404.34635
-1201.504887,48,128.019563,1133.05887,-1201.504887
-1264.674596,42,128.668201,1103.592529,-1264.674596
-1313.212249,49,129.453138,1143.410324,-1313.212249
-1306.124343,48,130.196108,1131.947949,-1306.124343
-1527.987268,62,131.208925,1042.373846,-1527.987268
-1493.969843,65,132.231431,1142.024491,-1493.969843
-1960.771293,107,133.955007,-114.662524,-1960.771293
-1602.972363,80,135.217302,1050.946062,-1602.972363
-1391.419856,56,136.097135,1156.287369,-1391.419856
-1421.369437,63,137.081894,1163.57245,-1421.369437
-1219.164621,54,137.952231,1159.757793,-1219.164621
