#{"t_start": 1648421329.9232268, "env_id": "multicomp/YouShallNotPassHumans-v0"}
r,l,t,r0,r1
-1172.383547,83,2.444424,-313.649844,-1172.383547
1642.770456,178,4.063136,-1839.561637,1642.770456
-806.243842,160,5.481918,230.818392,-806.243842
1713.336208,199,7.35872,-1917.371879,1713.336208
1683.874395,230,9.523623,-2163.705569,1683.874395
-872.129302,179,11.220195,155.992392,-872.129302
-1367.060643,77,11.957477,717.071491,-1367.060643
-1271.042837,93,12.81811,593.657277,-1271.042837
-993.467362,157,14.267891,279.277996,-993.467362
-1118.969908,166,15.797226,218.679527,-1118.969908
-1378.580599,107,16.800686,561.841018,-1378.580599
1635.90448,207,18.737196,-2027.243145,1635.90448
-1203.213122,84,19.530618,690.66875,-1203.213122
-1334.084082,82,20.285602,676.734185,-1334.084082
-1290.614443,98,21.854475,569.97479,-1290.614443
-1377.139192,116,22.976793,516.50254,-1377.139192
-1221.059412,85,23.793381,666.056197,-1221.059412
-1300.339896,114,24.89854,-528.009087,-1300.339896
-1363.212263,123,26.060239,432.298156,-1363.212263
-1346.439616,93,26.943674,591.056514,-1346.439616
-1325.713791,115,28.004047,496.001672,-1325.713791
1676.209044,186,29.703731,-1914.85453,1676.209044
-1226.150325,87,30.573991,670.168751,-1226.150325
-1252.1519,105,31.580721,566.553282,-1252.1519
-1094.291764,125,32.762832,447.974193,-1094.291764
-1101.229983,97,33.689762,616.255917,-1101.229983
-1243.062966,67,34.287366,775.74712,-1243.062966
-1054.132706,150,35.708345,326.099736,-1054.132706
-1273.00881,71,36.375515,737.775612,-1273.00881
-1011.93858,108,37.382345,491.472083,-1011.93858
-1219.652483,85,38.182287,641.809986,-1219.652483
-1143.278154,84,39.043264,-365.278678,-1143.278154
1600.054443,188,41.381925,-1921.700116,1600.054443
-1421.734539,102,42.433123,557.513553,-1421.734539
1657.312458,183,44.299022,-1891.264255,1657.312458
-1137.099381,113,45.392774,521.226296,-1137.099381
-1105.962261,97,46.297324,595.970459,-1105.962261
1628.137674,178,47.979952,-1805.861004,1628.137674
-1365.675058,114,49.060589,508.760341,-1365.675058
1632.440534,217,51.152874,-2075.595074,1632.440534
1606.201371,202,53.196276,-2003.113879,1606.201371
-1209.619527,80,54.183349,664.626936,-1209.619527
-1223.735986,66,54.847282,741.938655,-1223.735986
-868.872605,180,56.797584,129.951786,-868.872605
-1212.358759,134,58.268978,-613.400404,-1212.358759
1628.42752,244,61.003329,-2190.23506,1628.42752
-1279.877415,75,61.823673,702.159005,-1279.877415
-1225.82476,84,63.109247,640.74468,-1225.82476
-1190.299067,113,64.415358,485.125197,-1190.299067
1656.931726,167,66.131475,-1770.323608,1656.931726
-1196.801497,85,66.950526,680.318565,-1196.801497
-1273.044378,99,67.875187,558.180517,-1273.044378
-1311.457379,85,68.891242,-362.556491,-1311.457379
1636.626085,185,70.697421,-1877.398392,1636.626085
