#{"t_start": 1648164413.0613527, "env_id": "multicomp/YouShallNotPassHumans-v0"}
r,l,t,r0,r1
-1626.218439,151,2.267212,-1626.218439,1398.062372
-1543.006908,148,3.446249,-1543.006908,1384.592467
-1670.869468,150,4.656814,-1670.869468,1372.697463
-1535.900089,146,5.836776,-1535.900089,1390.494911
-1795.09574,177,7.233628,-1795.09574,1359.831736
-1633.028132,147,8.36615,-1633.028132,1382.644718
-1597.161469,152,9.555268,-1597.161469,1407.291042
-1662.325882,159,10.784593,-1662.325882,1399.616545
-1642.499963,148,11.973353,-1642.499963,1403.11519
-1603.924223,144,13.29039,-1603.924223,1388.245163
-1713.550029,159,14.582267,-1713.550029,1370.177572
-1676.89113,152,15.786529,-1676.89113,1368.139791
-1744.48192,172,17.151442,-1744.48192,1342.299796
-1731.997055,167,19.137087,-1731.997055,1386.329654
-1404.105952,152,20.328341,-1404.105952,1077.661699
-1663.449707,162,21.58753,-1663.449707,1362.175454
-1709.318954,178,23.050594,-1709.318954,1355.442277
-1726.674598,168,24.457242,-1726.674598,1388.15799
-1674.461521,157,25.71218,-1674.461521,1379.786117
-1596.698822,160,26.954742,-1596.698822,1395.851313
-1680.240788,156,28.174863,-1680.240788,1398.914323
-1615.531318,168,29.558287,-1615.531318,1378.513478
-1685.916176,175,31.041794,-1685.916176,1352.055566
-1572.845162,149,32.216766,-1572.845162,1404.951181
-322.116892,93,32.942126,-322.116892,-1560.645143
-1777.451732,172,34.291631,-1777.451732,1396.152751
-1674.577073,158,35.908701,-1674.577073,1347.218009
-1626.674242,155,37.158309,-1626.674242,1393.479233
-1792.942033,174,38.548089,-1792.942033,1376.156557
-1674.381907,153,39.921119,-1674.381907,1377.532088
-1686.283986,177,41.44437,-1686.283986,1354.390648
-1770.069162,168,42.842891,-1770.069162,1374.566467
-1718.579014,162,44.328749,-1718.579014,1377.601715
-1624.079315,149,45.608709,-1624.079315,1369.93631
-1583.284043,145,46.861563,-1583.284043,1362.335527
-1516.954682,150,48.107795,-1516.954682,1372.005726
-1582.239632,149,49.343848,-1582.239632,1393.583329
-1727.091613,162,50.62801,-1727.091613,1379.671839
-1796.358854,178,52.05548,-1796.358854,1339.965772
-1615.59853,152,53.729082,-1615.59853,1387.563745
-1751.267045,164,55.06255,-1751.267045,1401.621534
-1701.403637,163,56.404236,-1701.403637,1364.371733
-1369.784221,155,57.672408,-1369.784221,1335.285167
-1679.194926,162,58.995101,-1679.194926,1393.92457
-1742.254878,172,60.408232,-1742.254878,1343.135973
-1588.064368,149,61.607988,-1588.064368,1386.330855
