timesteps,mean_reward,std_reward
500,113.46,84.1789070967306
1000,280.72,190.35514597719705
1500,282.94,222.0382768803613
2000,245.23,168.186078793698
2500,377.14,197.3520721958602
3000,472.94,232.75123286461874
3500,509.95,231.40096693834278
4000,700.82,254.3572047338152
4500,492.7,151.78336535997613
5000,793.59,246.56443762229782
5500,869.34,194.30374262993496
6000,881.09,185.3192971603335
6500,922.75,131.4590715774305
7000,915.06,155.20398319630849
7500,870.82,168.61241828524967
8000,965.18,92.18453015555266
8500,1000.0,0.0
9000,1000.0,0.0
9500,1000.0,0.0
10000,1000.0,0.0
10500,1000.0,0.0
11000,1000.0,0.0
11500,1000.0,0.0
12000,1000.0,0.0
12500,1000.0,0.0
13000,1000.0,0.0
13500,1000.0,0.0
14000,1000.0,0.0
14500,1000.0,0.0
15000,1000.0,0.0
